relative_path,suffix,size_bytes,candidate_score,sampled,row_sample_count,measurement_family,path_state,location,session_date,window_duration,columns,notes
inside-out/active/ulukhaktok/2025-03-28/ping-sttlwax1-2605:59c8:600:e773::1-10ms-2h-2025-03-28-12-00-00.txt,.txt,45742081,98,True,25,inside-out,active,ulukhaktok,2025-03-28,2h,epoch|icmp_seq|ttl|latency_ms|reply_ip,ping log parsed
inside-out/active/brisbane/2025-03-20/ping-sydyaus1-2406:2d40:4600:8118::1-10ms-1h-2025-03-20-20-00-00.txt,.txt,23583046,95,True,25,inside-out,active,brisbane,2025-03-20,1h,epoch|icmp_seq|ttl|latency_ms|reply_ip,ping log parsed
inside-out/active/bruhl/2025-03-27/ping-frntdeu1-2a0d:3341:b100:1e99::1-10ms-1h-2025-03-27-03-00-00.txt,.txt,23484684,95,True,25,inside-out,active,bruhl,2025-03-27,1h,epoch|icmp_seq|ttl|latency_ms|reply_ip,ping log parsed
inside-out/active/kanazawa/2025-03-13/ping-2406:2d40:3000:b724::1-10ms-1h-2025-03-13-20-00-00.txt,.txt,24257977,95,True,25,inside-out,active,kanazawa,2025-03-13,1h,epoch|icmp_seq|ttl|latency_ms|reply_ip,ping log parsed
inside-out/active/lincoln/2025-03-04/ping-dnvrcox1-2605:59c8:5000:8874::1-10ms-1h-2025-03-04-02-00-00.txt,.txt,25307181,95,True,25,inside-out,active,lincoln,2025-03-04,1h,epoch|icmp_seq|ttl|latency_ms|reply_ip,ping log parsed
inside-out/active/manila/2025-03-15/ping-mnlaphl1-100.64.0.1-10ms-1h-2025-03-15-09-00-00.txt,.txt,20429354,95,True,25,inside-out,active,manila,2025-03-15,1h,epoch|icmp_seq|ttl|latency_ms|reply_ip,ping log parsed
inside-out/active/minneapolis/2025-03-29/ping-mplsmnx1-2605:59ca:1300:1efc::1-10ms-1h-2025-03-29-01-07-29.txt,.txt,23623512,95,True,25,inside-out,active,minneapolis,2025-03-29,1h,epoch|icmp_seq|ttl|latency_ms|reply_ip,ping log parsed
inside-out/active/seattle/2025-03-06/ping-sttlwax1-2605:59c8:900:facf::1-10ms-1h-2025-03-06-17-00-00.txt,.txt,23187760,95,True,25,inside-out,active,seattle,2025-03-06,1h,epoch|icmp_seq|ttl|latency_ms|reply_ip,ping log parsed
inside-out/active/slc/2025-03-04/ping-sltyutx1-2605:59c0:3000:543a::1-10ms-1h-2025-03-04-15-00-00.txt,.txt,26218665,95,True,25,inside-out,active,slc,2025-03-04,1h,epoch|icmp_seq|ttl|latency_ms|reply_ip,ping log parsed
inside-out/active/victoria/2025-03-26/ping-sttlwax1-2605:59c8:200:4bde::1-10ms-1h-2025-03-26-03-00-00.txt,.txt,26065096,95,True,25,inside-out,active,victoria,2025-03-26,1h,epoch|icmp_seq|ttl|latency_ms|reply_ip,ping log parsed
inside-out/active/victoria_hp1_proto2/2025-03-29/ping-sttlwax1-2605:59c8:200:685b::1-10ms-1h-2025-03-29-03-00-00.txt,.txt,26062302,95,True,25,inside-out,active,victoria_hp1_proto2,2025-03-29,1h,epoch|icmp_seq|ttl|latency_ms|reply_ip,ping log parsed
inside-out/active/zambia/2025-03-29/ping--100.64.0.1-10ms-1h-2025-03-29-13-00-00.txt,.txt,20987736,95,True,25,inside-out,active,zambia,2025-03-29,1h,epoch|icmp_seq|ttl|latency_ms|reply_ip,ping log parsed
inside-out/inactive/dallas/2025-03-08/ping-chcoilx1-fe80::200:5eff:fe00:101-10ms-1h-2025-03-08-15-00-00.txt,.txt,28688995,90,True,25,inside-out,inactive,dallas,2025-03-08,1h,epoch|icmp_seq|ttl|latency_ms|reply_ip,ping log parsed
inside-out/inactive/denver/2025-03-07/ping-fe80::200:5eff:fe00:101-10ms-1h-2025-03-07-02-00-00.txt,.txt,30834001,90,True,25,inside-out,inactive,denver,2025-03-07,1h,epoch|icmp_seq|ttl|latency_ms|reply_ip,ping log parsed
inside-out/inactive/ottawa/2025-03-11/ping-fe80::200:5eff:fe00:101-10ms-1h-2025-03-11-02-00-00.txt,.txt,28940525,90,True,25,inside-out,inactive,ottawa,2025-03-11,1h,epoch|icmp_seq|ttl|latency_ms|reply_ip,ping log parsed
inside-out/active/ulukhaktok/2025-03-16/ping-sttlwax1-2605:59c8:600:e773::1-10ms-2h-2025-03-16-12-00-00.txt,.txt,45567049,98,True,25,inside-out,active,ulukhaktok,2025-03-16,2h,epoch|icmp_seq|ttl|latency_ms|reply_ip,ping log parsed
inside-out/active/brisbane/2025-03-23/ping--2406:2d40:4600:8118::1-10ms-1h-2025-03-23-14-00-00.txt,.txt,23360315,95,True,25,inside-out,active,brisbane,2025-03-23,1h,epoch|icmp_seq|ttl|latency_ms|reply_ip,ping log parsed
inside-out/active/bruhl/2025-03-27/ping-frntdeu1-2a0d:3341:b100:1e99::1-10ms-1h-2025-03-27-04-00-00.txt,.txt,23447982,95,True,25,inside-out,active,bruhl,2025-03-27,1h,epoch|icmp_seq|ttl|latency_ms|reply_ip,ping log parsed
inside-out/active/kanazawa/2025-03-10/ping-2406:2d40:3000:b724::1-10ms-1h-2025-03-10-18-00-00.txt,.txt,24157359,95,True,25,inside-out,active,kanazawa,2025-03-10,1h,epoch|icmp_seq|ttl|latency_ms|reply_ip,ping log parsed
