comparison_name,metric_name,sample_count,mean_delta,median_delta,statistic,p_value,scenario_name
graph_vs_reactive,realized_next_latency_ms,28,-2.7708910672873666,0.0,1.0,0.004439092656792155,base
graph_vs_reactive,regret_ms,28,-2.7708910672873666,0.0,1.0,0.004439092656792155,base
graph_vs_predictive_only,realized_next_latency_ms,28,-0.9229984647499335,0.0,29.0,0.43276758066778476,base
graph_vs_predictive_only,regret_ms,28,-0.9229984647499335,0.0,29.0,0.43276758066778476,base
fusion_vs_temporal,realized_next_latency_ms,28,-0.3858199070253662,0.0,3.0,1.0,base
fusion_vs_temporal,regret_ms,28,-0.3858199070253662,0.0,3.0,1.0,base
fusion_vs_graph,realized_next_latency_ms,28,0.5371785577245672,0.0,13.0,0.13941397332153205,base
fusion_vs_graph,regret_ms,28,0.5371785577245672,0.0,13.0,0.13941397332153205,base
consensus_vs_fusion,realized_next_latency_ms,28,-0.44741654110424023,0.0,0.0,0.06788915486182899,base
consensus_vs_fusion,regret_ms,28,-0.44741654110424023,0.0,0.0,0.06788915486182899,base
consensus_vs_temporal,realized_next_latency_ms,28,-0.8332364481296065,0.0,9.0,0.39802471950693774,base
consensus_vs_temporal,regret_ms,28,-0.8332364481296065,0.0,9.0,0.39802471950693774,base
consensus_vs_graph,realized_next_latency_ms,28,0.08976201662032704,0.0,10.0,0.916511907863894,base
consensus_vs_graph,regret_ms,28,0.08976201662032704,0.0,10.0,0.916511907863894,base
graph_vs_reactive,realized_next_latency_ms,28,0.12282085676237488,0.0,41.0,0.7531523647659145,burst
graph_vs_reactive,regret_ms,28,0.12282085676237488,0.0,41.0,0.7531523647659145,burst
graph_vs_predictive_only,realized_next_latency_ms,28,1.2905889510803177,0.0,34.0,0.6948866023724733,burst
graph_vs_predictive_only,regret_ms,28,1.2905889510803177,0.0,34.0,0.6948866023724733,burst
fusion_vs_temporal,realized_next_latency_ms,28,1.2488347657595305,0.0,5.0,0.24886387493792206,burst
fusion_vs_temporal,regret_ms,28,1.2488347657595305,0.0,5.0,0.24886387493792206,burst
fusion_vs_graph,realized_next_latency_ms,28,-0.04175418532078723,0.0,10.0,0.49896229860376107,burst
fusion_vs_graph,regret_ms,28,-0.04175418532078723,0.0,10.0,0.49896229860376107,burst
consensus_vs_fusion,realized_next_latency_ms,28,-0.10595389191121932,0.0,1.0,0.6547208460185769,burst
consensus_vs_fusion,regret_ms,28,-0.10595389191121932,0.0,1.0,0.6547208460185769,burst
consensus_vs_temporal,realized_next_latency_ms,28,1.142880873848311,0.0,12.0,0.40081416938293446,burst
consensus_vs_temporal,regret_ms,28,1.142880873848311,0.0,12.0,0.40081416938293446,burst
consensus_vs_graph,realized_next_latency_ms,28,-0.14770807723200655,0.0,6.0,0.6858304344516057,burst
consensus_vs_graph,regret_ms,28,-0.14770807723200655,0.0,6.0,0.6858304344516057,burst
graph_vs_reactive,realized_next_latency_ms,28,-2.436450140066469,0.0,7.0,0.020795215853599117,outage
graph_vs_reactive,regret_ms,28,-2.436450140066469,0.0,7.0,0.020795215853599117,outage
graph_vs_predictive_only,realized_next_latency_ms,28,-0.5885575375290356,0.0,31.0,0.8588630128278887,outage
graph_vs_predictive_only,regret_ms,28,-0.5885575375290356,0.0,31.0,0.8588630128278887,outage
fusion_vs_temporal,realized_next_latency_ms,28,-0.3858199070253662,0.0,3.0,1.0,outage
fusion_vs_temporal,regret_ms,28,-0.3858199070253662,0.0,3.0,1.0,outage
fusion_vs_graph,realized_next_latency_ms,28,0.2027376305036694,0.0,17.0,0.5146697234497355,outage
fusion_vs_graph,regret_ms,28,0.2027376305036694,0.0,17.0,0.5146697234497355,outage
consensus_vs_fusion,realized_next_latency_ms,28,-0.284050109273009,0.0,0.0,0.10880943004054569,outage
consensus_vs_fusion,regret_ms,28,-0.284050109273009,0.0,0.0,0.10880943004054569,outage
consensus_vs_temporal,realized_next_latency_ms,28,-0.6698700162983753,0.0,7.0,0.463071015014588,outage
consensus_vs_temporal,regret_ms,28,-0.6698700162983753,0.0,7.0,0.463071015014588,outage
consensus_vs_graph,realized_next_latency_ms,28,-0.08131247876933959,0.0,9.0,0.7531523647659145,outage
consensus_vs_graph,regret_ms,28,-0.08131247876933959,0.0,9.0,0.7531523647659145,outage
graph_vs_reactive,realized_next_latency_ms,28,-1.7696517854548541,0.0,6.0,0.02841686417486375,structural
graph_vs_reactive,regret_ms,28,-1.7696517854548541,0.0,6.0,0.02841686417486375,structural
graph_vs_predictive_only,realized_next_latency_ms,28,-0.0788914336095617,0.0,32.0,0.9291527647091152,structural
graph_vs_predictive_only,regret_ms,28,-0.0788914336095617,0.0,32.0,0.9291527647091152,structural
fusion_vs_temporal,realized_next_latency_ms,28,0.18313564178944425,0.0,0.0,0.31731050786291415,structural
fusion_vs_temporal,regret_ms,28,0.18313564178944425,0.0,0.0,0.31731050786291415,structural
fusion_vs_graph,realized_next_latency_ms,28,0.26202707539900594,0.0,26.0,0.5336947142111965,structural
fusion_vs_graph,regret_ms,28,0.26202707539900594,0.0,26.0,0.5336947142111965,structural
consensus_vs_fusion,realized_next_latency_ms,28,-0.2331526153685028,0.0,1.0,0.14412703481601533,structural
consensus_vs_fusion,regret_ms,28,-0.2331526153685028,0.0,1.0,0.14412703481601533,structural
consensus_vs_temporal,realized_next_latency_ms,28,-0.05001697357905854,0.0,6.0,0.6858304344516057,structural
consensus_vs_temporal,regret_ms,28,-0.05001697357905854,0.0,6.0,0.6858304344516057,structural
consensus_vs_graph,realized_next_latency_ms,28,0.028874460030503153,0.0,13.0,0.8657723749926214,structural
consensus_vs_graph,regret_ms,28,0.028874460030503153,0.0,13.0,0.8657723749926214,structural
