comparison_name,metric_name,sample_count,mean_delta,median_delta,ci_lower,ci_upper,statistic,p_value,holm_adjusted_p_value,effect_size_dz,win_rate,loss_rate,block_bootstrap_p_value,scenario_name
operational_vs_temporal,realized_next_latency_ms,119,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
operational_vs_temporal,decision_gap_ms,119,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
operational_vs_temporal,success_under_budget,119,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
operational_vs_temporal,realized_cumulative_latency_3_ms,115,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
operational_vs_temporal,cumulative_decision_gap_3_ms,115,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
operational_vs_temporal,realized_cumulative_latency_5_ms,111,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
operational_vs_temporal,cumulative_decision_gap_5_ms,111,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
operational_vs_graph,realized_next_latency_ms,119,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
operational_vs_graph,decision_gap_ms,119,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
operational_vs_graph,success_under_budget,119,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
operational_vs_graph,realized_cumulative_latency_3_ms,115,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
operational_vs_graph,cumulative_decision_gap_3_ms,115,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
operational_vs_graph,realized_cumulative_latency_5_ms,111,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
operational_vs_graph,cumulative_decision_gap_5_ms,111,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
operational_vs_fusion,realized_next_latency_ms,119,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
operational_vs_fusion,decision_gap_ms,119,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
operational_vs_fusion,success_under_budget,119,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
operational_vs_fusion,realized_cumulative_latency_3_ms,115,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
operational_vs_fusion,cumulative_decision_gap_3_ms,115,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,session_holdout
