comparison_name,metric_name,sample_count,mean_delta,median_delta,statistic,p_value,scenario_name
risk_adjusted_vs_temporal,realized_next_latency_ms,60,0.10863726111722999,0.0,29.0,0.7221076526150257,in_distribution
risk_adjusted_vs_temporal,decision_gap_ms,60,0.10863726111722999,0.0,29.0,0.7221076526150257,in_distribution
risk_adjusted_vs_temporal,success_under_budget,60,0.0,0.0,0.0,1.0,in_distribution
risk_adjusted_vs_graph,realized_next_latency_ms,60,0.2235450482050286,0.0,44.0,0.36348794698151576,in_distribution
risk_adjusted_vs_graph,decision_gap_ms,60,0.2235450482050286,0.0,44.0,0.36348794698151576,in_distribution
risk_adjusted_vs_graph,success_under_budget,60,0.0,0.0,0.0,1.0,in_distribution
risk_adjusted_vs_fusion,realized_next_latency_ms,60,0.34172599025502104,0.0,15.0,0.20262160771231197,in_distribution
risk_adjusted_vs_fusion,decision_gap_ms,60,0.34172599025502104,0.0,15.0,0.20262160771231197,in_distribution
risk_adjusted_vs_fusion,success_under_budget,60,0.0,0.0,0.0,1.0,in_distribution
risk_adjusted_vs_ensemble_uncertainty,realized_next_latency_ms,60,0.03967616944792158,0.0,12.0,0.7353166906373405,in_distribution
risk_adjusted_vs_ensemble_uncertainty,decision_gap_ms,60,0.03967616944792158,0.0,12.0,0.7353166906373405,in_distribution
risk_adjusted_vs_ensemble_uncertainty,success_under_budget,60,0.0,0.0,0.0,1.0,in_distribution
risk_adjusted_vs_historical,realized_next_latency_ms,60,0.1905758212851732,0.0,248.0,0.7648003915420281,in_distribution
risk_adjusted_vs_historical,decision_gap_ms,60,0.1905758212851732,0.0,248.0,0.7648003915420281,in_distribution
risk_adjusted_vs_historical,success_under_budget,60,0.0,0.0,0.0,1.0,in_distribution
graph_vs_temporal,realized_next_latency_ms,60,-0.11490778708779861,0.0,83.0,0.6291623521725525,in_distribution
graph_vs_temporal,decision_gap_ms,60,-0.11490778708779861,0.0,83.0,0.6291623521725525,in_distribution
graph_vs_temporal,success_under_budget,60,0.0,0.0,0.0,1.0,in_distribution
risk_adjusted_vs_temporal,realized_next_latency_ms,13,-0.4858899543379414,0.0,2.0,0.1875,temporal_shift
risk_adjusted_vs_temporal,decision_gap_ms,13,-0.4858899543379414,0.0,2.0,0.1875,temporal_shift
risk_adjusted_vs_temporal,success_under_budget,13,0.0,0.0,0.0,1.0,temporal_shift
risk_adjusted_vs_graph,realized_next_latency_ms,13,-0.4343250915718133,0.0,14.0,1.0,temporal_shift
risk_adjusted_vs_graph,decision_gap_ms,13,-0.4343250915718133,0.0,14.0,1.0,temporal_shift
risk_adjusted_vs_graph,success_under_budget,13,0.0,0.0,0.0,1.0,temporal_shift
risk_adjusted_vs_fusion,realized_next_latency_ms,13,-0.5733556570291554,0.0,5.0,0.625,temporal_shift
risk_adjusted_vs_fusion,decision_gap_ms,13,-0.5733556570291554,0.0,5.0,0.625,temporal_shift
risk_adjusted_vs_fusion,success_under_budget,13,0.0,0.0,0.0,1.0,temporal_shift
risk_adjusted_vs_ensemble_uncertainty,realized_next_latency_ms,13,-0.32258156791710274,0.0,3.0,0.625,temporal_shift
risk_adjusted_vs_ensemble_uncertainty,decision_gap_ms,13,-0.32258156791710274,0.0,3.0,0.625,temporal_shift
risk_adjusted_vs_ensemble_uncertainty,success_under_budget,13,0.0,0.0,0.0,1.0,temporal_shift
risk_adjusted_vs_historical,realized_next_latency_ms,13,-3.6248724907642305,-2.1248171876466735,5.0,0.01953125,temporal_shift
risk_adjusted_vs_historical,decision_gap_ms,13,-3.6248724907642305,-2.1248171876466735,5.0,0.01953125,temporal_shift
risk_adjusted_vs_historical,success_under_budget,13,0.0,0.0,0.0,1.0,temporal_shift
graph_vs_temporal,realized_next_latency_ms,13,-0.05156486276612809,0.0,10.0,0.578125,temporal_shift
graph_vs_temporal,decision_gap_ms,13,-0.05156486276612809,0.0,10.0,0.578125,temporal_shift
graph_vs_temporal,success_under_budget,13,0.0,0.0,0.0,1.0,temporal_shift
